dataset,image,height,width,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count
AFIO,IM001246.png,1000,1504,117680,169900,0.4842200431184366,0.31945272855740203,0.5916553365057784,0.9276689364648855,0.4098057680988817,0.3700772911299227,0.22705204922660044,0.323467910567798,0.9982373948696173,0.4323801333046657,99,2500,0.7373737373737373,0.0512,26
AFIO,IM001686.png,1000,1504,106050,171133,0.48191988686174836,0.3174535274462553,0.6297972654408298,0.925359991416002,0.3902812432435591,0.3296470588235294,0.1973517396816453,0.257253029746603,0.9988969366469277,0.4587426326129666,72,2598,0.6388888888888888,0.03502694380292533,26
AFIO,IM001749.png,1000,1504,146303,174195,0.5564028480676947,0.3854280588756565,0.6094406813257418,0.9373704147538073,0.5118574011883235,0.33677880097725993,0.20248587570621468,0.3120863810518983,0.9968824123788691,0.3657142857142857,168,2298,0.7559523809523809,0.09573542210617929,41
AFIO,IM001750.png,1000,1504,138510,176069,0.5255468419697437,0.35643508856655,0.5968016749693162,0.9315952515214319,0.4694920741300286,0.3135094052821585,0.18589454709328526,0.2786220871327254,0.9970363523389808,0.3583840139009557,160,2421,0.75625,0.0875671210243701,39
AFIO,IM001791.png,1000,1504,130864,169580,0.5276657213989961,0.35838717407325354,0.6057204425968945,0.9342286561564186,0.4674313008609506,0.3237422177351506,0.19313390885364384,0.3002028397565923,0.997627523135489,0.35128720102245753,119,2626,0.7478991596638656,0.0654988575780655,30
AFIO,IM001792.png,1000,1504,129622,174729,0.5212665639344047,0.35250881005390466,0.6119640184536576,0.9305831437930467,0.453983025141791,0.2907676636725623,0.1701159388882869,0.2633786277470223,0.9978184813612997,0.3245142620917735,122,2548,0.7131147540983607,0.06161695447409733,35
AFIO,IM001814.png,1000,1504,118090,163628,0.5050085546539447,0.3378002972699601,0.6023795410280295,0.9332619001233846,0.4347361087344464,0.2889733840304182,0.1688888888888889,0.2624899598393574,0.9976965832651766,0.32140047206923683,121,2785,0.6115702479338843,0.05457809694793537,47
AFIO,IM001858.png,1000,1504,129658,170052,0.5431850789096127,0.37285798700019696,0.6277977448364158,0.935494221962219,0.478671229976713,0.32316008316008316,0.1927196984725253,0.29961449498843484,0.9975980207209945,0.3507220216606498,138,2867,0.782608695652174,0.07080572026508546,30
AFIO,IM001859.png,1000,1504,101262,183138,0.44663853727144864,0.2875303321140125,0.6272046769765559,0.9147196411589334,0.34679858904214306,0.3059820010587613,0.180625,0.28596873144666535,0.9980339531684576,0.3290072859744991,92,3484,0.75,0.04161882893226177,23
AFIO,IM002094.png,1000,1504,78258,147626,0.37380248269023036,0.22986290331362363,0.5394720028623272,0.9260679702218213,0.285979434516955,0.3380510818285342,0.2034064212999217,0.2892538975501114,0.9989896081599139,0.4066536203522505,53,2399,0.6037735849056604,0.020842017507294707,21
AFIO,IM002348.png,1000,1504,119715,162641,0.48239102409723894,0.3178625270124572,0.5688760806916426,0.9317062599103508,0.41873205403311586,0.2859947643979058,0.16685757922871325,0.22498712888278702,0.9986450162965158,0.3923974857826998,90,2655,0.6666666666666666,0.038041431261770245,30
AFIO,IM002350.png,1000,1504,127785,163657,0.5232807900028136,0.35435361472937743,0.5967288805415346,0.936489574666749,0.4659317963790122,0.3299520472150498,0.19757040309221424,0.27556993222427606,0.998288489944628,0.4110753676470588,107,2528,0.6822429906542056,0.04865506329113924,34
AFIO,IM002421.png,1000,1504,136120,172906,0.5063586882657123,0.33900956293032103,0.5747796062297973,0.9307929058104512,0.45249441893283054,0.30187858127221295,0.17777208269263625,0.26061365059486535,0.9975127254740093,0.3586694243364357,136,2726,0.7720588235294118,0.07300073367571533,31
AFIO,IM002422.png,1000,1504,120001,165377,0.4751382377057797,0.3115943028113668,0.5649702919142341,0.9294941687096595,0.40995422579923446,0.29104689720511606,0.1703071293935026,0.24135763670647392,0.998227206076777,0.36649964209019326,106,2888,0.8207547169811321,0.0564404432132964,19
AFIO,IM002471.png,1000,1504,122273,171879,0.48852973972639996,0.32321492031074983,0.5876276855888054,0.9276065387735782,0.41803245306291054,0.3738789725729212,0.2299207539087599,0.29906672238473325,0.9985576097609534,0.4986065954482118,91,2600,0.6923076923076923,0.04153846153846154,28
AFIO,IM002587.png,1000,1504,113555,167222,0.4888505824907311,0.32349586137979147,0.6043679274360442,0.9290924847800525,0.4104065254571767,0.31726594678837805,0.18854194231278115,0.2876463463867582,0.998262895201348,0.3536857781087118,89,2899,0.8089887640449438,0.04380820972749224,17
AFIO,IM002649.png,1000,1504,133013,174051,0.4485123622437016,0.28908535996607937,0.5177012773187584,0.9232742542416522,0.3956369110203331,0.298721071863581,0.17558618220869876,0.24977721196690006,0.997781632127902,0.3715205453512592,130,3409,0.7615384615384615,0.061014960398943975,31
AFIO,IM002742.png,1000,1504,97250,189334,0.3556025458504313,0.21625097080580064,0.5239588688946015,0.9016321307979385,0.26912757349445954,0.41606960081883315,0.2626817447495961,0.317578125,0.999286133646456,0.6031157270029673,52,3120,0.7884615384615384,0.020512820512820513,11
AFIO,IM002743.png,1000,1504,105458,191697,0.3936935269472161,0.2450924114120028,0.5546663126552751,0.9047558099792499,0.30513779558365545,0.38826185101580135,0.24089635854341737,0.33231645312182223,0.9987552390361307,0.46685714285714286,62,2949,0.7419354838709677,0.02814513394370973,16
AFIO,IM003024.png,1000,1504,102961,153535,0.4726155573576196,0.3094280288333912,0.5886889210477754,0.9336756507135062,0.39477643534047613,0.3320975171329064,0.1991108716152499,0.2834675872650556,0.998526140489703,0.4008679142934635,86,2792,0.7674418604651163,0.04297994269340974,20
AFIO,IM003537.png,1000,1504,161936,172581,0.5618967048012508,0.3907206851393768,0.580365082501729,0.9414342386056105,0.5445674784593901,0.2982897384305835,0.17528820573455514,0.2403242147922999,0.9975490753816603,0.3931057341730196,147,2266,0.6666666666666666,0.08781994704324801,49
AFIO,IM003630.png,1000,1504,147699,174249,0.5601712077726838,0.389054039477942,0.6105186900385243,0.9380108102847377,0.5174950788813709,0.3176141404490548,0.18878792795716373,0.28527644967512567,0.9972129428021523,0.35822044334975367,153,2344,0.7581699346405228,0.09257679180887372,37
AFIO,IM003631.png,1000,1504,140161,168697,0.514100330896399,0.3459858976929044,0.566434314823667,0.9345193970842599,0.4706189203127501,0.2912963746649739,0.17047799884421697,0.24166179052077238,0.9976141040686614,0.3665897390378129,151,2753,0.7218543046357616,0.08136578278241918,42
AFIO,IM003705.png,1000,1504,89665,135329,0.42524689547276817,0.27004036013660354,0.5335303630178999,0.9381405395468542,0.35350146679573485,0.2898057564157096,0.16945780135964186,0.21809645753307724,0.9991029230701507,0.43177017321504013,66,1879,0.4090909090909091,0.027674294837679615,39
AFIO,IM004162.png,1000,1504,136130,168340,0.5392780897953822,0.369186007294051,0.6030779402042166,0.9369508798350721,0.4876856362124272,0.26650812524772094,0.1537406255716115,0.19976232917409387,0.9983157092375224,0.4002380952380952,117,2068,0.5299145299145299,0.047388781431334626,55
AFIO,IM004163.png,1000,1504,121882,153761,0.4874275784257173,0.32225073753387856,0.5511724454800545,0.9373548423506531,0.4368988234988066,0.31185294739066133,0.18473091364205257,0.24276315789473685,0.998724898525956,0.43591258121677495,93,2533,0.7204301075268817,0.050532964863797866,26
AFIO,IM004455.png,1000,1504,120957,174457,0.44111653476138574,0.2829695385176628,0.5386707672974693,0.9209706422721492,0.3734788515221516,0.3428688189619943,0.206905055487053,0.25947116128034636,0.9989028622407653,0.5052694971394158,76,3138,0.6973684210526315,0.032823454429572976,23
AFIO,IM004512.png,1000,1504,107563,174326,0.4291831181777224,0.27322288367555264,0.5623773974322025,0.9184818219511514,0.3469993001617659,0.38372622189860744,0.23741412321207342,0.3411555267842693,0.9981973813960413,0.4384359400998336,96,3320,0.7604166666666666,0.05090361445783133,23
AFIO,IM004513.png,1000,1504,101133,181225,0.44232499167723244,0.2839648767001196,0.6174740193606439,0.9153319594801218,0.3445827010622155,0.3724801664715828,0.22886367268659102,0.3160450231736923,0.9988489258530854,0.45345155161494616,71,2787,0.7464788732394366,0.035163257983494796,18
AFIO,IM004515.png,1000,1504,132117,157784,0.5212814029617007,0.3525223825586332,0.5719173157125881,0.9400648597584488,0.4788825229427572,0.25448884276076805,0.14579617076941373,0.1927369910391448,0.9986325142440868,0.3744654856444716,87,2516,0.6896551724137931,0.0492845786963434,27
AFIO,IM004516.png,1000,1504,137490,168933,0.5387715674084517,0.3687113906296761,0.6003782093243145,0.9367827531448727,0.48863158767085174,0.2839409039251683,0.16546102903718798,0.23259810942423376,0.9981075711848488,0.3643706529055418,108,2493,0.7592592592592593,0.0609707180104292,26
AFIO,IM004538.png,1000,1504,106723,186410,0.4025817632269311,0.25202026242055625,0.5528798853105703,0.9088190816853065,0.31653344777640685,0.3130370734102627,0.18556250909620142,0.2460439984561945,0.9988731120122657,0.43016194331983804,70,3797,0.6714285714285714,0.02712667895707137,23
AFIO,IM004539.png,1000,1504,101782,186201,0.4171774028328061,0.2635654833203898,0.5901829400090389,0.910048936755911,0.32260836407967736,0.4058438070684284,0.2545822102425876,0.31007879185817466,0.9991134301973152,0.5871930369909854,70,3363,0.7857142857142857,0.031222123104371096,15
AFIO,IM004564.png,1000,1504,102719,178661,0.45588172578008385,0.2952375691625008,0.6244024961302194,0.9182726376793805,0.3589927292470097,0.3915003219575016,0.2433947157726181,0.33583738400353513,0.9988535979950303,0.46928064217351034,60,2909,0.7833333333333333,0.030250945342041938,13
AFIO,IM004790.png,1000,1504,106301,180443,0.3937658678124041,0.24514848733547848,0.5310862550681555,0.9112913438444186,0.3128688838026413,0.313953488372093,0.18620689655172415,0.20827083779730018,0.9996311693266272,0.6373770491803279,37,3035,0.4864864864864865,0.012850082372322899,19
AFIO,IM004993.png,1000,1504,116276,175589,0.46155585630342794,0.3000146987425894,0.5792768929099729,0.9220068255647377,0.3836003394290075,0.3110698824984539,0.18418161845477846,0.23903057183589418,0.9987447310419333,0.445264089701977,82,2947,0.7317073170731707,0.03495079742110621,22
AFIO,IM005024.png,1000,1504,144342,175161,0.5048966676369236,0.33770018212648373,0.5587978550941514,0.9304950215421819,0.4604792162638944,0.31917585396710646,0.18989247311827956,0.25056753688989786,0.9984956097456699,0.439522150323544,98,2871,0.7551020408163265,0.04911180773249739,24
AFIO,IM005025.png,1000,1504,125517,166679,0.4865706580514449,0.3215020645925765,0.5663535616689372,0.9306542046583092,0.42649043970746164,0.3085509268487144,0.18241810040065992,0.2511763751419763,0.998449096931108,0.3998966675277706,86,2801,0.6976744186046512,0.04141378079257408,26
AFIO,IM005060.png,1000,1504,147019,164282,0.5547428373182226,0.3838367673534707,0.587311844047368,0.9425666239984201,0.5255962308713067,0.30319235132069355,0.17868398433769458,0.23095914084680905,0.9984156684375082,0.44116953548691346,108,2230,0.6388888888888888,0.056950672645739914,39
AFIO,IM005092.png,1000,1504,146548,172466,0.5234629201226279,0.3545206735790895,0.5697518901656795,0.9344580876524547,0.4841302053738128,0.38447376495857627,0.23798670465337132,0.2998324958123953,0.9985477808192067,0.5356990166737923,102,2909,0.8333333333333334,0.05087658989343417,17
AFIO,IM005093.png,1000,1504,145494,170976,0.5193478054791923,0.3507561109901789,0.5648274155635284,0.9346362842711037,0.48064640651319485,0.3548017043592265,0.21565893017232793,0.27579617834394904,0.9985369114059419,0.4972439136426275,99,2880,0.8282828282828283,0.053125,17
AFIO,IM005132.png,1000,1504,152316,178712,0.5417668596010006,0.3715228001557852,0.5887103127708185,0.9341251357565822,0.5017570168763149,0.3689400164338537,0.22619647355163727,0.3054421768707483,0.9979333591942108,0.4657676348547718,125,2785,0.776,0.06283662477558348,28
AFIO,IM005133.png,1000,1504,160060,175382,0.5325570441387781,0.36291498896884056,0.5580469823816069,0.9359636590919237,0.5092939982438335,0.2912806539509537,0.170467230106841,0.2242030201342282,0.9979885765063595,0.4156298600311042,123,2936,0.7723577235772358,0.069141689373297,28
AFIO,IM005190.png,1000,1504,137634,198679,0.4560573037616744,0.29538486426524513,0.5571951697981603,0.9107193826544279,0.385994493630429,0.30375214074420054,0.17907296925195043,0.23824642813530345,0.9981909479205595,0.41893923126476273,107,3410,0.7289719626168224,0.04164222873900293,29
AFIO,IM005191.png,1000,1504,144553,194417,0.5006342744195652,0.3338973713206359,0.5869819374208768,0.9194032573539094,0.43643302797594863,0.2918760851686009,0.17087524074470362,0.23722519310754606,0.9982541535650264,0.3792448349560674,92,3318,0.7717391304347826,0.04219409282700422,21
