image,method,removed_far_components,removed_weak_components,gt_vessel_pixels,pred_vessel_pixels,dice,iou,sensitivity,specificity,precision,fp_pixels,fn_pixels,fp_over_gt_area,fn_over_gt_area,terminal_dice,terminal_iou,terminal_sensitivity,terminal_specificity,terminal_precision,terminal_fp_pixels,terminal_fn_pixels,terminal_fp_over_gt_area,terminal_fn_over_gt_area,gt_endpoint_count,pred_endpoint_count,endpoint_recall,endpoint_precision,missed_endpoint_count,skeleton_distance_f1_radius_5
03_dr.jpg,soft_structure_refined,0,2563,57927,217374,0.36469900218306506,0.2230164371390493,0.866625235209833,0.8146790780790468,0.2309429830614517,167173,7726,2.8859253888514855,0.13337476479016694,0.8093535607305054,0.6797597792566142,0.6797597792566142,1.0,1.0,0,1973,0.0,0.3202402207433858,930,3517,0.7688172043010753,0.1524026158657947,215,0.5658834313631248
03_g.jpg,baseline_raw,0,0,55457,135519,0.508692191689008,0.34110475976461,0.8758858214472475,0.9038796386683662,0.3584294453176307,86945,6883,1.5677912616982528,0.12411417855275259,0.8099076406381193,0.6805418371666432,0.6805418371666432,1.0,1.0,0,2264,0.0,0.3194581628333569,852,2648,0.7629107981220657,0.18768882175226587,202,0.694908058948874
03_g.jpg,connected_recovery_raw,0,0,55457,162081,0.46486590848495435,0.30281778709387636,0.911751447067097,0.8767134342977614,0.3119613032989678,111518,4894,2.0108913212038155,0.08824855293290297,0.8354284775285514,0.7173698320869197,0.7173698320869197,1.0,1.0,0,2003,0.0,0.28263016791308027,852,2634,0.7394366197183099,0.18109339407744876,222,0.7014159420741526
03_g.jpg,soft_structure_refined,0,3854,55457,145671,0.4881567956724076,0.3228885074028033,0.8852083596299836,0.8932278509700479,0.3369991281723885,96580,6366,1.7415294732856086,0.1147916403700164,0.8191285511955344,0.6936644560462819,0.6936644560462819,1.0,1.0,0,2171,0.0,0.3063355439537181,852,2643,0.7605633802816901,0.1872871736662883,204,0.6931955331872514
03_h.jpg,baseline_raw,0,0,101393,154589,0.6611480494722285,0.49381714625848355,0.8345842415156864,0.9185098653982555,0.5473934109153951,69968,16772,0.6900673616521851,0.1654157584843135,0.74842503149937,0.5979865771812081,0.5979865771812081,1.0,1.0,0,2995,0.0,0.40201342281879193,296,2539,0.875,0.20519889720362347,37,0.7625226658687788
03_h.jpg,connected_recovery_raw,0,0,101393,167045,0.6602939971241032,0.4928648492330964,0.8740642845166826,0.9086648489937771,0.530539674937891,78421,12769,0.7734360360182656,0.1259357154833174,0.7548052816312887,0.6061744966442953,0.6061744966442953,1.0,1.0,0,2934,0.0,0.3938255033557047,296,2451,0.8682432432432432,0.20807833537331702,39,0.7639406925996487
03_h.jpg,soft_structure_refined,0,3541,101393,157149,0.6632578072421502,0.4961748127915186,0.845620506346592,0.9168315655474507,0.5455968539411641,71409,15653,0.7042793881234405,0.15437949365340803,0.748845411033672,0.598523489932886,0.598523489932886,1.0,1.0,0,2991,0.0,0.4014765100671141,296,2517,0.875,0.20659515295987285,37,0.7612124117869431
04_dr.jpg,baseline_raw,0,0,54157,195818,0.37145314531453144,0.22808870634936232,0.857266835312148,0.8350806927911348,0.23709260639982024,149391,7730,2.758479974887826,0.142733164687852,0.7929373996789727,0.6569148936170213,0.6569148936170213,1.0,1.0,0,2064,0.0,0.34308510638297873,1054,3628,0.818785578747628,0.1855016538037486,191,0.5599960893550541
04_dr.jpg,connected_recovery_raw,0,0,54157,211618,0.35925124635499955,0.21895567225445456,0.8815111619919863,0.8190878551802023,0.22559517621374364,163878,6417,3.0259800210499104,0.11848883800801374,0.8030242737763629,0.6708776595744681,0.6708776595744681,1.0,1.0,0,1980,0.0,0.3291223404255319,1054,3539,0.8197343453510436,0.18508053122350945,190,0.556751551459984
04_dr.jpg,soft_structure_refined,0,2856,54157,202015,0.3669565760504661,0.22470717598125925,0.8678841147035471,0.8288743192804934,0.23266589114669703,155013,7155,2.862289270085123,0.1321158852964529,0.7961980990495248,0.6614029255319149,0.6614029255319149,1.0,1.0,0,2037,0.0,0.3385970744680851,1054,3597,0.818785578747628,0.18654434250764526,191,0.5557691000141558
04_g.jpg,baseline_raw,0,0,61875,149277,0.520156096082443,0.3514938938528892,0.8875313131313132,0.8949355601948504,0.3678798475317698,94361,6959,1.5250262626262627,0.11246868686868687,0.8011619906734959,0.6682821068741231,0.6682821068741231,1.0,1.0,0,2601,0.0,0.3317178931258768,943,2681,0.7338282078472959,0.2081312942931742,251,0.7071845967052223
04_g.jpg,connected_recovery_raw,0,0,61875,170079,0.48775188183864043,0.3225342957818754,0.9142303030303031,0.8736133611691023,0.33259838075247383,113511,5307,1.8345212121212122,0.08576969696969697,0.8174345826106628,0.6912383624537687,0.6912383624537687,1.0,1.0,0,2421,0.0,0.30876163754623137,943,2703,0.7232237539766702,0.20569737328893822,261,0.7108976028684466
04_g.jpg,soft_structure_refined,0,4390,61875,157201,0.5055323266811518,0.3382691614590015,0.8949494949494949,0.8866237995824635,0.35225602890566854,101826,6500,1.6456727272727272,0.10505050505050505,0.8072710678430179,0.6768269353398801,0.6768269353398801,1.0,1.0,0,2534,0.0,0.32317306466011986,943,2682,0.735949098621421,0.20954511558538405,249,0.7056058417608451
04_h.jpg,baseline_raw,0,0,90369,162116,0.631308790621225,0.46124997829697834,0.881917471699366,0.9052264696175735,0.4916109452490809,82418,10671,0.912016288771592,0.11808252830063407,0.799384906553111,0.6658128078817734,0.6658128078817734,1.0,1.0,0,1696,0.0,0.3341871921182266,276,2652,0.822463768115942,0.16402714932126697,49,0.7447347194636854
04_h.jpg,connected_recovery_raw,0,0,90369,173948,0.6238191262764029,0.4532973377173208,0.9122929323108588,0.8947772101040556,0.4739519856508842,91505,7926,1.0125706824242826,0.08770706768914119,0.8072855464159812,0.6768472906403941,0.6768472906403941,1.0,1.0,0,1640,0.0,0.32315270935960594,276,2641,0.822463768115942,0.1628171147292692,49,0.7471777120532929
04_h.jpg,soft_structure_refined,0,3493,90369,165378,0.6314599975757291,0.4614114285714286,0.8935254346070002,0.9026817121284775,0.4882572047067929,84631,9622,0.9365047748674877,0.1064745653929998,0.8029248732161811,0.6707389162561577,0.6707389162561577,1.0,1.0,0,1671,0.0,0.3292610837438424,276,2638,0.8115942028985508,0.16413949962092494,52,0.7434505193048733
05_dr.jpg,baseline_raw,0,0,59703,159646,0.49231133946359457,0.3265338211726286,0.9043766644892216,0.8826476151758809,0.3382107913759192,105652,5709,1.7696263169354973,0.09562333551077835,0.8486317977138899,0.737063778580024,0.737063778580024,1.0,1.0,0,2185,0.0,0.2629362214199759,1244,3076,0.7829581993569131,0.23764629388816644,270,0.7035665104342286
