image,model,edges,terminals,length,length_per_terminal,coverage_dispersion,coverage_uniformity,occupied_grid_coverage,fractal_dim,branch_angle,density_corr,terminal_density_score,matched_terminal_density_score,density_lift_over_random
02_h.jpg,Density Survival Only,26,10,2.2422192283648004,0.22422192283648004,0.00503311354838426,0.1281706578688692,0.022151898734177215,0.4068234326624959,56.59398324667916,-0.10008562816309369,0.10247927482675494,0.10247927482675494,-0.22185801779664777
02_h.jpg,Density-Aware,26,10,2.2422192283648004,0.22422192283648004,0.005407500265415287,0.13607169311635656,0.022151898734177215,0.4081353752812511,57.03148324667914,-0.08432107770441495,0.1374005934792849,0.1374005934792849,-0.1869366991441178
03_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.09591033723822126,0.49138200607731325,0.5066890059983473,0.22134616800654955
03_h.jpg,Constrained,34,14,2.7462468359782406,0.19616048828416005,0.015528972856691975,0.3545695195569535,0.028481012658227847,0.4518905912809722,55.40764693338889,-0.11033448498907907,0.03704841873783762,0.037157852157839455,-0.24025900232362954
03_h.jpg,Density Depth Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.09723415174708089,,-0.07682855997665687,0.018691700610356667,0.018691700610356667,-0.28094736424022376
03_h.jpg,Density Direction Only,26,10,2.2422192283648004,0.22422192283648004,0.004911031777915853,0.12590453099083063,0.022151898734177215,0.40558650025961623,55.485221491525934,-0.09016846240883829,0.03788720692704045,0.03788720692704045,-0.2690290274358653
03_h.jpg,Density Survival Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.09723415174708089,,-0.07682855997665687,0.018691700610356667,0.018691700610356667,-0.28094736424022376
03_h.jpg,Density-Aware,26,10,2.2422192283648004,0.22422192283648004,0.004911031777915853,0.12590453099083063,0.022151898734177215,0.40558650025961623,55.485221491525934,-0.09016846240883829,0.03788720692704045,0.03788720692704045,-0.2690290274358653
04_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.15733885189107422,0.051955843626321385,0.0494912497911319,-0.2474330211654648
04_h.jpg,Constrained,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.12310955352506855,,0.03650782799850735,0.4727819722588999,0.4727819722588999,0.10441388573143734
04_h.jpg,Density Depth Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.12310955352506855,,-0.013570748725737504,0.2667076635909527,0.2667076635909527,-0.10166042293650984
04_h.jpg,Density Direction Only,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.09175991696592893,,0.011740054561552837,0.37086210707643524,0.37086210707643524,0.0024940205489726863
04_h.jpg,Density Survival Only,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.12310955352506855,,-0.013570748725737504,0.2667076635909527,0.2667076635909527,-0.10166042293650984
04_h.jpg,Density-Aware,4,2,0.8096000000000001,0.40480000000000005,0.0,0.0,0.006329113924050633,0.09175991696592893,,0.011740054561552837,0.37086210707643524,0.37086210707643524,0.0024940205489726863
05_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.031069800690009853,0.35938669858977035,0.3735198561104013,0.07654407771426402
05_h.jpg,Constrained,38,17,2.9515229704192003,0.17361899825995297,0.14588156025053428,1.710066004167448,0.03164556962025317,0.3796932002895899,55.42461249199928,-0.10869345174128278,0.08477948651115697,0.08603513922189795,-0.20753883519737346
05_h.jpg,Density Depth Only,26,13,2.33127474601984,0.1793288266169108,0.13710648069776196,1.3702803702273145,0.02531645569620253,0.2894169655853603,55.50841620031774,-0.0992158530853797,0.09783272605427126,0.09874665568551054,-0.195822971678673
05_h.jpg,Density Direction Only,26,13,2.33127474601984,0.1793288266169108,0.13710648069776196,1.3702803702273145,0.02531645569620253,0.2894169655853603,55.50841620031774,-0.0992158530853797,0.09783272605427126,0.09874665568551054,-0.195822971678673
05_h.jpg,Density Survival Only,26,13,2.33127474601984,0.1793288266169108,0.13710648069776196,1.3702803702273145,0.02531645569620253,0.2894169655853603,55.50841620031774,-0.0992158530853797,0.09783272605427126,0.09874665568551054,-0.195822971678673
05_h.jpg,Density-Aware,26,13,2.33127474601984,0.1793288266169108,0.13710648069776196,1.3702803702273145,0.02531645569620253,0.2894169655853603,55.50841620031774,-0.0992158530853797,0.09783272605427126,0.09874665568551054,-0.195822971678673
06_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.11968527452529311,0.11350818807476182,0.11421697076211443,-0.18276989760352752
06_h.jpg,Constrained,3,2,0.6348,0.3174,0.0,0.0,0.006329113924050633,0.04002147314474575,,0.0039713169753982265,0.3326254908925112,0.3326254908925112,0.012329825630497893
06_h.jpg,Density Depth Only,2,2,0.46,0.23,0.0,0.0,0.006329113924050633,0.056407098283825834,,0.10676353218340494,0.7266352167987888,0.7266352167987888,0.40633955153677553
06_h.jpg,Density Direction Only,2,2,0.46,0.23,0.0,0.0,0.006329113924050633,0.056407098283825834,,0.10676353218340494,0.7266352167987888,0.7266352167987888,0.40633955153677553
06_h.jpg,Density Survival Only,2,2,0.46,0.23,0.0,0.0,0.006329113924050633,0.056407098283825834,,0.10676353218340494,0.7266352167987888,0.7266352167987888,0.40633955153677553
06_h.jpg,Density-Aware,2,2,0.46,0.23,0.0,0.0,0.006329113924050633,0.056407098283825834,,0.10676353218340494,0.7266352167987888,0.7266352167987888,0.40633955153677553
07_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.07366547487640965,0.4518917963172467,0.4632235131218967,0.19019479482782803
07_h.jpg,Constrained,90,42,6.427565077217281,0.1530372637432686,0.014613510599167368,0.3741342883286533,0.0759493670886076,0.5704125378513324,56.32335322818475,-0.19409072333403085,0.04250549102272223,0.04380263667907092,-0.23146947432550333
07_h.jpg,Density Depth Only,71,33,5.226671191121921,0.15838397548854305,0.051142369894536036,1.0966723542401964,0.056962025316455694,0.548071669254788,54.88462072042391,-0.15514051169108797,0.041877706656612515,0.04110220191492995,-0.23007152502731315
07_h.jpg,Density Direction Only,70,32,5.312829223976961,0.16602591324928004,0.06758573255280412,1.2604987382725388,0.060126582278481014,0.5337871395972705,56.17758699420435,-0.15273846784940853,0.05598263263750398,0.05809603579278975,-0.21544900353630228
07_h.jpg,Density Survival Only,62,29,4.734966096363521,0.16327469297805244,0.055447310711039755,1.0192853530950023,0.056962025316455694,0.519749661536695,55.13958769564821,-0.14497925427035432,0.057265472149862016,0.06235895427926181,-0.2119324801044359
07_h.jpg,Density-Aware,70,32,5.312829223976961,0.16602591324928004,0.06758573255280412,1.2604987382725388,0.060126582278481014,0.5337871395972705,56.17758699420435,-0.15273846784940853,0.05598263263750398,0.05809603579278975,-0.21544900353630228
08_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.16389553613175104,0.10057683628182519,0.1015214828168475,-0.21722213633693402
08_h.jpg,Constrained,53,24,4.1439701088256005,0.17266542120106668,0.06968312718166897,1.1281105379366803,0.04430379746835443,0.49901043877541845,56.172374291668035,-0.1012405788307506,0.15429782387092442,0.15155192766760572,-0.16803947075755415
08_h.jpg,Density Depth Only,67,31,4.960331739176961,0.16001070126377293,0.06609433139226033,1.1750214495660563,0.05379746835443038,0.5372329831634143,55.13706576098286,-0.12018167744304908,0.1472925214373616,0.14291190365244327,-0.17288960112874333
08_h.jpg,Density Direction Only,67,31,4.960331739176961,0.16001070126377293,0.06482557532575949,1.1619656028892216,0.05379746835443038,0.5347591183576551,55.25775541615528,-0.09850683668779368,0.1767540284350641,0.17267328022835685,-0.14763366687878487
08_h.jpg,Density Survival Only,55,25,4.265024097198081,0.17060096388792323,0.07414093788295373,1.2311657714708129,0.04430379746835443,0.5039698489738054,54.590455468385095,-0.11565029496375717,0.1292634794733944,0.12371739571151774,-0.19157791840887486
08_h.jpg,Density-Aware,67,31,4.960331739176961,0.16001070126377293,0.06482557532575949,1.1619656028892216,0.05379746835443038,0.5347591183576551,55.25775541615528,-0.09850683668779368,0.1767540284350641,0.17267328022835685,-0.14763366687878487
09_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.07038580721208289,0.4568684968243119,0.4702879543881874,0.18142388783148283
09_h.jpg,Constrained,79,36,5.744166397583361,0.1595601777106489,0.028915331072434287,0.7707468402063952,0.056962025316455694,0.5606154448013482,55.69689157158368,-0.12009895371498161,0.04785995731302117,0.04889475565393023,-0.23709713294205836
09_h.jpg,Density Depth Only,60,27,4.646324129218561,0.1720860788599467,0.024985731717993336,0.6085531787889971,0.04113924050632911,0.5224894409837961,53.199604019485236,-0.1270477494672096,0.05005570109526813,0.05024425506322185,-0.23867471084091954
09_h.jpg,Density Direction Only,71,31,5.390257625128961,0.1738792782299665,0.024549230442656795,0.6167779043265962,0.05379746835443038,0.5438092603710649,54.6229972561007,-0.13542448342888294,0.03976702794065687,0.039521965489995516,-0.24833674205274078
09_h.jpg,Density Survival Only,58,26,4.5576821620736006,0.17529546777206156,0.025631351262817088,0.6043846256001735,0.0379746835443038,0.5152504165486987,53.57309271649529,-0.11511171388511914,0.05585453144778651,0.05776093557504575,-0.23166390381512222
09_h.jpg,Density-Aware,71,31,5.390257625128961,0.1738792782299665,0.024549230442656795,0.6167779043265962,0.05379746835443038,0.5438092603710649,54.6229972561007,-0.13542448342888294,0.03976702794065687,0.039521965489995516,-0.24833674205274078
10_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,-0.16084767900845784,0.04796851026373637,0.04601517501836491,-0.2640078460933899
10_h.jpg,Constrained,31,16,2.6235192603852804,0.16396995377408002,0.1326027054295181,1.4336140335501397,0.03164556962025317,0.33681468363948164,54.539341301053454,-0.07647829639779682,0.10101829495618178,0.09561523305481455,-0.21232802821935048
10_h.jpg,Density Depth Only,55,26,4.17649708077056,0.16063450310656002,0.04711100739569892,0.9751089965117001,0.04430379746835443,0.5039698489738054,55.33318196097406,-0.11788397016903858,0.09483136618689239,0.09409507337086431,-0.21586179333092664
10_h.jpg,Density Direction Only,67,30,4.9279197179494405,0.16426399059831467,0.020723941641969005,0.6159318183431126,0.05379746835443038,0.5344385135957666,52.8365217828685,-0.13166039373147476,0.08063404287393586,0.08487718128725985,-0.23195298227633118
10_h.jpg,Density Survival Only,43,21,3.4811894387916804,0.1657709256567467,0.17855839193179973,1.943649124315139,0.03481012658227848,0.47536579479403424,56.20840156733943,-0.09768904688213784,0.08963436041941993,0.0886404172488987,-0.22295981573584678
10_h.jpg,Density-Aware,67,30,4.9279197179494405,0.16426399059831467,0.020723941641969005,0.6159318183431126,0.05379746835443038,0.5344385135957666,52.8365217828685,-0.13166039373147476,0.08063404287393586,0.08487718128725985,-0.23195298227633118
11_h.jpg,Baseline,61,29,4.234452281344,0.1460155959084138,0.009513699401243981,0.2572378561500498,0.056962025316455694,0.5460938072664654,54.03880294989891,0.03279056810920519,0.3824758766537769,0.39431373912420087,0.09859103926142604
11_h.jpg,Constrained,88,40,6.260102967541761,0.15650257418854402,0.018750481485588374,0.48192054390077427,0.07278481012658228,0.5831241246319234,54.957794867125514,-0.153600421190476,0.08808842130918453,0.08679587082209876,-0.20851182007226843
11_h.jpg,Density Depth Only,71,32,5.353425782824961,0.16729455571328003,0.014923181326678456,0.3490376245650375,0.05379746835443038,0.5389850184646099,57.795786604169244,-0.12937144060369285,0.0827221323697612,0.0851491191368868,-0.21333982478445723
