alpha,max_depth,initial_length,density_weight,density_depth_weight,density_direction_weight,density_survival_weight,density_angle_span,density_horizon_weight,edges,terminals,length,occupied_grid_coverage,coverage_dispersion,terminal_density_score,matched_terminal_density_score,density_lift_over_random,search_score
0.76,6,0.26,0.6,0.75,0.5,0.05,1.0,0.0,53.733333333333334,25.133333333333333,5.674149895154347,0.05443037974683544,0.07988010972205148,0.135433270489651,0.13266177504280055,-0.030112581651610026,0.18417299691068048
0.76,6,0.26,0.6,0.75,0.7,0.05,1.5,1.0,54.46666666666667,25.133333333333333,5.7274248752059735,0.05527426160337553,0.07603084551788353,0.13115753763411567,0.13167662341646777,-0.034060664607380685,0.17964030765176098
0.76,6,0.26,0.6,0.75,0.9,0.05,1.5,1.0,54.86666666666667,25.066666666666666,5.755515293603158,0.05379746835443037,0.08121101862963494,0.13464463665877402,0.13042466658336221,-0.0322165225627652,0.17820914257441708
0.76,6,0.26,0.6,0.5,0.9,0.05,1.0,0.5,52.6,24.533333333333335,5.586095056961536,0.055485232067510555,0.08008982836940054,0.12511782145731934,0.1231937516208978,-0.0392258887906864,0.17292246721268342
0.76,6,0.26,0.6,0.5,0.9,0.05,1.0,0.0,50.666666666666664,23.866666666666667,5.437231519913301,0.05443037974683545,0.08298503604485966,0.12218514523838107,0.11947486974546823,-0.042906919983379484,0.16871676408321573
0.76,6,0.26,0.6,0.75,0.9,0.05,1.0,0.5,52.86666666666667,24.533333333333335,5.602962850911573,0.05506329113924051,0.07957303717250361,0.12381792768462534,0.12189333910327808,-0.040033886713189505,0.16840010452457563
0.76,6,0.26,0.6,0.75,0.7,0.05,1.5,0.5,55.53333333333333,25.866666666666667,5.803021336701611,0.056540084388185655,0.07326163432526024,0.1417245783865845,0.13716980067031828,-0.024511580690893944,0.16517056976884797
0.76,6,0.26,0.6,0.75,0.9,0.05,1.0,0.0,51.2,23.933333333333334,5.477718367207424,0.05443037974683544,0.08172381515417709,0.11934555392770682,0.11743800032856994,-0.045506337899723644,0.1598557202959531
0.76,6,0.26,0.6,0.75,0.5,0.0,1.0,0.5,55.4,26.4,5.7793156025712635,0.05822784810126582,0.07799106233549012,0.14491699994769436,0.14034941507715265,-0.01949159044291272,0.14782984863240706
0.76,6,0.26,0.6,0.5,0.7,0.0,1.0,1.0,54.6,26.0,5.763702450208769,0.056118143459915615,0.07692545092869847,0.13919379712112556,0.13628177425588997,-0.027012577873022883,0.14677848364213514
